Rank, Title, Year, Rank
1, The Shawshank Redemption, 1994, 9.3
2, The Godfather, 1972, 9.2
3, The Dark Knight, 2008, 9
4, The Godfather: Part II, 1974, 9
5, The Lord of the Rings: The Return of the King, 2003, 8.9
6, Pulp Fiction, 1994, 8.9
7, Schindler's List, 1993, 8.9
8, 12 Angry Men, 1957, 8.9
9, Inception, 2010, 8.8
10, Fight Club, 1999, 8.8
11, The Lord of the Rings: The Fellowship of the Ring, 2001, 8.8
12, Forrest Gump, 1994, 8.8
13, Il buono, il brutto, il cattivo, 1966, 8.8
14, The Lord of the Rings: The Two Towers, 2002, 8.7
15, The Matrix, 1999, 8.7
16, Goodfellas, 1990, 8.7
17, Star Wars: Episode V - The Empire Strikes Back, 1980, 8.7
18, One Flew Over the Cuckoo's Nest, 1975, 8.7
19, Seppuku, 1962, 8.7
20, Gisaengchung, 2019, 8.6
21, Interstellar, 2014, 8.6
22, Cidade de Deus, 2002, 8.6
23, Sen to Chihiro no kamikakushi, 2001, 8.6
24, Saving Private Ryan, 1998, 8.6
25, The Green Mile, 1999, 8.6
26, La vita è bella, 1997, 8.6
27, Se7en, 1995, 8.6
28, The Silence of the Lambs, 1991, 8.6
29, Star Wars, 1977, 8.6
30, Shichinin no samurai, 1954, 8.6
31, It's a Wonderful Life, 1946, 8.6
32, Joker, 2019, 8.5
33, Ayla: The Daughter of War, 2017, 8.5
34, Avengers: Infinity War, 2018, 8.5
35, Whiplash, 2014, 8.5
36, The Intouchables, 2011, 8.5
37, The Prestige, 2006, 8.5
38, The Departed, 2006, 8.5
39, The Pianist, 2002, 8.5
40, Gladiator, 2000, 8.5
41, American History X, 1998, 8.5
42, The Usual Suspects, 1995, 8.5
43, Léon, 1994, 8.5
44, The Lion King, 1994, 8.5
45, Terminator 2: Judgment Day, 1991, 8.5
46, Nuovo Cinema Paradiso, 1988, 8.5
47, Hotaru no haka, 1988, 8.5
48, Back to the Future, 1985, 8.5
